leiloeiro,dataleilao,placa,chassi,lote,datainc
Copasa Leiloes-1,12/04/2021,HCN3730,9C6KE043050050923,1,08/02/2023
Copasa Leiloes-1,12/04/2021,HAL7820,9C6KE044040037509,2,08/02/2023
Copasa Leiloes-1,12/04/2021,HDL0333,9C2JD20205R038693,3,08/02/2023
Copasa Leiloes-1,12/04/2021,HEN7723,9C6KE094070017435,4,08/02/2023
Copasa Leiloes-1,12/04/2021,HEN7794,9C6KE094070017475,5,08/02/2023
Copasa Leiloes-1,12/04/2021,HEN7814,9C6KE094070017440,6,08/02/2023
Copasa Leiloes-1,12/04/2021,HAL8055,9C6KE044040037425,7,08/02/2023
Copasa Leiloes-1,12/04/2021,HCN3797,9C6KE043050050942,8,08/02/2023
Copasa Leiloes-1,12/04/2021,HEN7667,9C6KE094070017343,9,08/02/2023
Copasa Leiloes-1,12/04/2021,HEN7697,9C6KE094070017305,10,08/02/2023
Copasa Leiloes-1,12/04/2021,HCN3758,9C6KE043050050973,11,08/02/2023
Copasa Leiloes-1,12/04/2021,HCN3818,9C6KE043050050922,12,08/02/2023
Copasa Leiloes-1,12/04/2021,GXR5108,9C2JC30301R008384,13,08/02/2023
Copasa Leiloes-1,12/04/2021,HCN3749,9C6KE043050050971,14,08/02/2023
Copasa Leiloes-1,12/04/2021,HCN3829,9C6KE043050050495,15,08/02/2023
Copasa Leiloes-1,19/04/2021,HCN3730,9C6KE043050050923,1,08/02/2023
Copasa Leiloes-1,19/04/2021,HAL7820,9C6KE044040037509,2,08/02/2023
Copasa Leiloes-1,19/04/2021,HDL0333,9C2JD20205R038693,3,08/02/2023
Copasa Leiloes-1,19/04/2021,HEN7723,9C6KE094070017435,4,08/02/2023
Copasa Leiloes-1,19/04/2021,HEN7794,9C6KE094070017475,5,08/02/2023
Copasa Leiloes-1,19/04/2021,HEN7814,9C6KE094070017440,6,08/02/2023
Copasa Leiloes-1,19/04/2021,HAL8055,9C6KE044040037425,7,08/02/2023
Copasa Leiloes-1,19/04/2021,HCN3797,9C6KE043050050942,8,08/02/2023
Copasa Leiloes-1,19/04/2021,HEN7667,9C6KE094070017343,9,08/02/2023
Copasa Leiloes-1,19/04/2021,HEN7697,9C6KE094070017305,10,08/02/2023
Copasa Leiloes-1,19/04/2021,HCN3758,9C6KE043050050973,11,08/02/2023
